Id,SalePrice
1461,144942.02
1462,165230.31
1463,199016.92
1464,201454.45
1465,188179.83
1466,185318.23
1467,187470.53
1468,171965.33
1469,188180.48
1470,122877.48
1471,187587.17
1472,102773.09
1473,99294.125
1474,148347.2
1475,117520.42
1476,367861.28
1477,271724.72
1478,271278.72
1479,288952.28
1480,437311.75
1481,330589.22
1482,213131.23
1483,198151.73
1484,164843.6
1485,189254.52
1486,199362.36
1487,346403.94
1488,182734.52
1489,206493.36
1490,244779.28
1491,195293.39
1492,94076.83
1493,173760.73
1494,265661.16
1495,250285.39
1496,251799.17
1497,174239.31
1498,186407.98
1499,177600.08
1500,163045.3
1501,181257.38
1502,145874.81
1503,267340.47
1504,224153.1
1505,232878.61
1506,185298.2
1507,258600.27
1508,212325.78
1509,163932.69
1510,144966.3
1511,161373.45
1512,177124.17
1513,160118.75
1514,170976.95
1515,202042.8
1516,157410.45
1517,153772.48
1518,119529.54
1519,237108.39
1520,134983.52
1521,139320.34
1522,174547.55
1523,118394.81
1524,136507.92
1525,126019.18
1526,107660.19
1527,113264.67
1528,130101.15
1529,159632.3
1530,191665.45
1531,101945.23
1532,104249.62
1533,155438.64
1534,124955.33
1535,146355.58
1536,111673.984
1537,62170.293
1538,158946.98
1539,182100.11
1540,91794.08
1541,124751.27
1542,139387.39
1543,202892.7
1544,87470.03
1545,115843.484
1546,136775.27
1547,135463.48
1548,145860.84
1549,111278.19
1550,142276.83
1551,96208.87
1552,134788.66
1553,148248.05
1554,127883.07
1555,173082.2
1556,76856.03
1557,111863.86
1558,116344.83
1559,63328.55
1560,127998.22
1561,151471.77
1562,127997.79
1563,124206.46
1564,161941.98
1565,159317.05
1566,216440.3
1567,78991.55
1568,232138.8
1569,124118.08
1570,127613.29
1571,127538.82
1572,144336.42
1573,228882.3
1574,124436.89
1575,233061.17
1576,237947.1
1577,197785.73
1578,155044.66
1579,133975.44
1580,190500.77
1581,152063.86
1582,129284.57
1583,277062.1
1584,205282.69
1585,143779.8
1586,82030.375
1587,104303.75
1588,144808.81
1589,106525.984
1590,120278.5
1591,102708.56
1592,127035.695
1593,136563.05
1594,150975.8
1595,116249.52
1596,226353.75
1597,182276.14
1598,230270.89
1599,157964.08
1600,149429.95
1601,64856.453
1602,130690.72
1603,78871.23
1604,278515.53
1605,230185.92
1606,158510.58
1607,188794.2
1608,210568.48
1609,179191.94
1610,158686.78
1611,145424.83
1612,155419.31
1613,174214.48
1614,124250.82
1615,101787.78
1616,89767.58
1617,87993.625
1618,139246.05
1619,152546.66
1620,163590.33
1621,145695.14
1622,148504.36
1623,235043.5
1624,205917.8
1625,117509.67
1626,155171.45
1627,189332.89
1628,272123.75
1629,184621.28
1630,375325.84
1631,214867.06
1632,235254.83
1633,170177.42
1634,192907.89
1635,186397.88
1636,161457.14
1637,204635.34
1638,186636.02
1639,195424.81
1640,238925.12
1641,181742.66
1642,231340.58
1643,216224.05
1644,230909.92
1645,207993.06
1646,158196.17
1647,169393.39
1648,134775.88
1649,139521.64
1650,123551.36
1651,113567.74
1652,98170.234
1653,113086.81
1654,149543.14
1655,144437.05
1656,145276.42
1657,158482.58
1658,156200.27
1659,130456.28
1660,172536.73
1661,411300.66
1662,391707.9
1663,349249.6
1664,487048.75
1665,289776.53
1666,287759.8
1667,354441.06
1668,312779.66
1669,270863.4
1670,313977.4
1671,249183.31
1672,413848.2
1673,272718.97
1674,249261.81
1675,190418.89
1676,213427.28
1677,211114.9
1678,459316.38
1679,372315.5
1680,334381.56
1681,234377.08
1682,307390.47
1683,179963.86
1684,173689.8
1685,177480.97
1686,167808.23
1687,169775.75
1688,194769.34
1689,190686.7
1690,197265.08
1691,182314.31
1692,261142.73
1693,163158.66
1694,192101.0
1695,172509.92
1696,264970.16
1697,179796.23
1698,340620.25
1699,298560.3
1700,260821.89
1701,243794.42
1702,254475.33
1703,218054.89
1704,269338.62
1705,229231.64
1706,310080.6
1707,247559.22
1708,211488.58
1709,268480.16
1710,229824.8
1711,256386.88
1712,251336.95
1713,276620.66
1714,226244.69
1715,204828.92
1716,176543.0
1717,169930.28
1718,131921.95
1719,207676.64
1720,248657.64
1721,160388.8
1722,122354.49
1723,164939.77
1724,189220.55
1725,251024.61
1726,192208.17
1727,155944.78
1728,161973.64
1729,174884.1
1730,146769.7
1731,132073.2
1732,131993.62
1733,109590.17
1734,136095.08
1735,139293.52
1736,131946.67
1737,331673.62
1738,236096.7
1739,235201.58
1740,242145.67
1741,200493.9
1742,175421.73
1743,172015.58
1744,376148.47
1745,221307.48
1746,174971.42
1747,225701.75
1748,220852.67
1749,153244.47
1750,127570.43
1751,232969.0
1752,114099.79
1753,158920.86
1754,191227.1
1755,169838.77
1756,151921.77
1757,126715.97
1758,149858.08
1759,149724.72
1760,168790.81
1761,138846.06
1762,175928.45
1763,173233.44
1764,122132.12
1765,164946.3
1766,174395.36
1767,195660.06
1768,142654.3
1769,164147.86
1770,166778.78
1771,128872.19
1772,141238.2
1773,126287.516
1774,120017.36
1775,143808.73
1776,134909.02
1777,121652.61
1778,142662.73
1779,118034.76
1780,160046.2
1781,130528.61
1782,97199.89
1783,135596.23
1784,107506.28
1785,127313.7
1786,145560.42
1787,164905.11
1788,74028.31
1789,92436.47
1790,77605.266
1791,177610.36
1792,172618.02
1793,129934.12
1794,152605.0
1795,136601.45
1796,144923.17
1797,119729.92
1798,122540.49
1799,117228.06
1800,128873.56
1801,132243.81
1802,132557.62
1803,154694.62
1804,139839.58
1805,136621.2
1806,121986.96
1807,132205.38
1808,117351.07
1809,128741.836
1810,137953.95
1811,115469.56
1812,96939.08
1813,134358.58
1814,97248.234
1815,70814.58
1816,104969.12
1817,98180.61
1818,158192.08
1819,131603.28
1820,63940.918
1821,111327.516
1822,153141.89
1823,53252.254
1824,136653.83
1825,147279.7
1826,112114.28
1827,94923.055
1828,133349.47
1829,97200.72
1830,147670.92
1831,121851.8
1832,81695.37
1833,139674.48
1834,132145.66
1835,128293.49
1836,128609.31
1837,100512.59
1838,133467.64
1839,101764.836
1840,182676.83
1841,142990.6
1842,98490.98
1843,127876.08
1844,146295.67
1845,143194.8
1846,156927.64
1847,167100.0
1848,62209.668
1849,106312.625
1850,119167.836
1851,150916.27
1852,125864.875
1853,151664.11
1854,172049.16
1855,164727.12
1856,213317.42
1857,154987.61
1858,144103.86
1859,123731.484
1860,154747.45
1861,125414.06
1862,295541.8
1863,272323.75
1864,272341.16
1865,332852.6
1866,313198.34
1867,227220.27
1868,290391.34
1869,215060.36
1870,230201.08
1871,247126.3
1872,180274.92
1873,239954.55
1874,152418.22
1875,200518.48
1876,206639.03
1877,228692.45
1878,214145.39
1879,129861.28
1880,145281.89
1881,258961.44
1882,244153.89
1883,189454.28
1884,196752.42
1885,209140.75
1886,270399.6
1887,213202.67
1888,272810.1
1889,166592.7
1890,135330.53
1891,132943.52
1892,118972.7
1893,132853.23
1894,122376.16
1895,122406.54
1896,135894.33
1897,124489.59
1898,127974.875
1899,162190.92
1900,163485.33
1901,175880.12
1902,147925.3
1903,221067.52
1904,134251.86
1905,199578.2
1906,150671.19
1907,205924.69
1908,116634.984
1909,130841.73
1910,121980.14
1911,185833.38
1912,293833.34
1913,144622.42
1914,64528.85
1915,401277.4
